[INFO] [2023-01-06 00:17:01,569] Login - Step 01: Click to login link
[INFO] [2023-01-06 00:17:02,877] Login - Step 02: Login with information: -223168961@test.com/password
[INFO] [2023-01-06 00:17:04,266] Login - Step 03: Verify account is linked
[INFO] [2023-01-06 00:17:04,480] User-Customer Information - Step 01: Click to my account link
[INFO] [2023-01-06 00:17:05,187] User-Customer Information - Step 02: Click to female radio button
[INFO] [2023-01-06 00:17:05,387] User-Customer Information - Step 03: Send key to first name test box with value: First name
[INFO] [2023-01-06 00:17:05,660] User-Customer Information - Step 04: Send key to last name test box with value: Last name
[INFO] [2023-01-06 00:17:05,917] User-Customer Information - Step 05: Send key to email test box with value: automationfc.vn@gmail.com
[INFO] [2023-01-06 00:17:06,209] User-Customer Information - Step 06: Select item from day checkbox with value: 1
[INFO] [2023-01-06 00:17:06,406] User-Customer Information - Step 07: Select item from month checkbox with value: January
[INFO] [2023-01-06 00:17:06,589] User-Customer Information - Step 08: Select item from year checkbox with value: 1999
[INFO] [2023-01-06 00:17:06,789] User-Customer Information - Step 09: Send key to company test box with value: Automation FC
[INFO] [2023-01-06 00:17:07,091] User-Customer Information - Step 10: Click to save button
[INFO] [2023-01-06 00:17:07,970] User-Customer Information - Step 11: Verify first name with value: First name
[INFO] [2023-01-06 00:17:08,079] User-Customer Information - Step 12: Verify first name with value: Last name
[INFO] [2023-01-06 00:17:08,157] User-Customer Information - Step 13: Verify first name with value: automationfc.vn@gmail.com
[INFO] [2023-01-06 00:17:08,233] User-Customer Information - Step 14: Verify first name with value: Automation FC
[INFO] [2023-01-06 00:17:08,328] User-Customer Information - Step 15: Verify first name with value: 1
[INFO] [2023-01-06 00:17:08,514] User-Customer Information - Step 16: Verify first name with value: January
[INFO] [2023-01-06 00:17:08,682] User-Customer Information - Step 17: Verify first name with value: 1999
